iter	Logloss
0	0.6635895502
1	0.6385181185
2	0.6139377657
3	0.5954410487
4	0.5780085117
5	0.5626644332
6	0.5490904256
7	0.533697604
8	0.5178986608
9	0.505455965
10	0.491697262
11	0.4803194921
12	0.4702035549
13	0.4611026004
14	0.4511604519
15	0.4420573744
16	0.4338038597
17	0.4234485997
18	0.4162485301
19	0.409576355
20	0.4026744604
21	0.3959236913
22	0.3890782488
23	0.3839471996
24	0.3788035265
25	0.3751813057
26	0.3718376518
27	0.3666053998
28	0.3619271967
29	0.3572046777
30	0.3515447138
31	0.3475262407
32	0.3436082745
33	0.3399112406
34	0.3361182301
35	0.3328105912
36	0.3292090985
37	0.3262406015
38	0.3223076283
39	0.320507238
40	0.3163946667
41	0.3131419725
42	0.3101306253
43	0.3063179487
44	0.3029462436
45	0.2998922684
46	0.2972016071
47	0.2941660327
48	0.2909520272
49	0.2877242313
